CPF,Produto,AvaliacaoProduto
12345678901,ProdutoA,4.5
12345678901,ProdutoB,2.0
12345678901,ProdutoC,3.5
12345678901,ProdutoD,4.0
12345678901,ProdutoE,1.5
12345678901,ProdutoF,3.0
12345678901,ProdutoG,4.2
12345678901,ProdutoH,3.8
12345678901,ProdutoI,2.5
12345678901,ProdutoJ,4.7
98765432100,ProdutoA,1.2
98765432100,ProdutoB,4.0
98765432100,ProdutoC,4.5
98765432100,ProdutoD,3.2
98765432100,ProdutoE,3.8
98765432100,ProdutoF,2.0
98765432100,ProdutoG,1.8
98765432100,ProdutoH,3.4
98765432100,ProdutoI,4.9
98765432100,ProdutoJ,2.7
55555555555,ProdutoA,3.5
55555555555,ProdutoB,4.2
55555555555,ProdutoC,3.0
55555555555,ProdutoD,2.5
55555555555,ProdutoE,4.1
55555555555,ProdutoF,5.0
55555555555,ProdutoG,2.3
55555555555,ProdutoH,3.3
55555555555,ProdutoI,4.4
55555555555,ProdutoJ,1.8
66666666666,ProdutoA,2.5
66666666666,ProdutoB,4.0
66666666666,ProdutoC,4.5
66666666666,ProdutoD,4.1
66666666666,ProdutoE,3.6
66666666666,ProdutoF,2.8
66666666666,ProdutoG,4.8
66666666666,ProdutoH,3.7
66666666666,ProdutoI,3.0
66666666666,ProdutoJ,5.0
11111111111,ProdutoA,3.0
11111111111,ProdutoB,4.5
11111111111,ProdutoC,2.0
11111111111,ProdutoD,5.0
11111111111,ProdutoE,3.7
11111111111,ProdutoF,2.5
11111111111,ProdutoG,4.1
11111111111,ProdutoH,1.9
11111111111,ProdutoI,2.7
11111111111,ProdutoJ,4.8
22222222222,ProdutoA,4.3
22222222222,ProdutoB,3.5
22222222222,ProdutoC,5.0
22222222222,ProdutoD,2.8
22222222222,ProdutoE,1.9
22222222222,ProdutoF,3.6
22222222222,ProdutoG,4.0
22222222222,ProdutoH,3.7
22222222222,ProdutoI,4.4
22222222222,ProdutoJ,2.6
33333333333,ProdutoA,3.9
33333333333,ProdutoB,4.2
33333333333,ProdutoC,3.4
33333333333,ProdutoD,4.7
33333333333,ProdutoE,5.0
33333333333,ProdutoF,2.2
33333333333,ProdutoG,3.3
33333333333,ProdutoH,4.6
33333333333,ProdutoI,1.5
33333333333,ProdutoJ,3.9
44444444444,ProdutoA,4.1
44444444444,ProdutoB,2.3
44444444444,ProdutoC,3.6
44444444444,ProdutoD,4.9
44444444444,ProdutoE,3.7
44444444444,ProdutoF,1.8
44444444444,ProdutoG,4.0
44444444444,ProdutoH,5.0
44444444444,ProdutoI,4.2
44444444444,ProdutoJ,2.4
77777777777,ProdutoA,2.6
77777777777,ProdutoB,4.4
77777777777,ProdutoC,3.3
77777777777,ProdutoD,4.8
77777777777,ProdutoE,3.1
77777777777,ProdutoF,2.9
77777777777,ProdutoG,1.7
77777777777,ProdutoH,4.5
77777777777,ProdutoI,3.6
77777777777,ProdutoJ,5.0
88888888888,ProdutoA,3.2
88888888888,ProdutoB,5.0
88888888888,ProdutoC,2.1
88888888888,ProdutoD,4.3
88888888888,ProdutoE,3.9
88888888888,ProdutoF,4.4
88888888888,ProdutoG,1.3
88888888888,ProdutoH,3.8
88888888888,ProdutoI,4.1
88888888888,ProdutoJ,2.0
99999999999,ProdutoA,4.5
99999999999,ProdutoB,2.5
99999999999,ProdutoC,3.9
99999999999,ProdutoD,4.6
99999999999,ProdutoE,5.0
99999999999,ProdutoF,3.0
99999999999,ProdutoG,4.2
99999999999,ProdutoH,2.8
99999999999,ProdutoI,3.7
99999999999,ProdutoJ,4.4
